file_name;a–o;MSPA-class_color;FGdata_pixels_porc;BGarea
mb_full_2004_8_1_1_1.txt;2004;BRANCH [orange];1.44/ 0.80;4073652
mb_full_2004_8_1_1_1.txt;2004;Background [grey];--/44.83;904028/670097459
mb_full_2004_8_1_1_1.txt;2004;Missing [white];45.38;137/1242037648
mb_full_2004_8_1_1_1.txt;2004;Opening [grey];86.54 Integrity;902358/128287388
mb_full_2004_8_1_1_1.txt;2004;Core-Opening [darkgrey];--/ 5.58;635006/83349432
mb_full_2004_8_1_1_1.txt;2004;Border-Opening [grey];--/ 3.01;267352/44937956
mb_full_2005_8_1_1_1.txt;2005;CORE(s) [green];--/--;0
mb_full_2005_8_1_1_1.txt;2005;CORE(m) [green];89.74/49.03;894989
mb_full_2005_8_1_1_1.txt;2005;CORE(l) [green];--/--;0
mb_full_2005_8_1_1_1.txt;2005;ISLET [brown];0.53/ 0.29;467365
mb_full_2005_8_1_1_1.txt;2005;PERFORATION [blue];2.64/ 1.44;320371
mb_full_2005_8_1_1_1.txt;2005;EDGE [black];5.25/ 2.87;680461
mb_full_2005_8_1_1_1.txt;2005;LOOP [yellow];0.00/ 0.00;0
mb_full_2005_8_1_1_1.txt;2005;BRIDGE [red];0.38/ 0.21;653588
mb_full_2005_8_1_1_1.txt;2005;BRANCH [orange];1.46/ 0.80;4076344
mb_full_2005_8_1_1_1.txt;2005;Background [grey];--/45.36;896602/678068571
mb_full_2005_8_1_1_1.txt;2005;Missing [white];45.38;151/1242037803
mb_full_2005_8_1_1_1.txt;2005;Opening [grey];87.98 Integrity;895004/111577304
mb_full_2005_8_1_1_1.txt;2005;Core-Opening [darkgrey];--/ 5.03;614668/75237600
mb_full_2005_8_1_1_1.txt;2005;Border-Opening [grey];--/ 2.43;280336/36339704
mb_full_2006_8_1_1_1.txt;2006;CORE(s) [green];--/--;0
mb_full_2006_8_1_1_1.txt;2006;CORE(m) [green];89.68/48.57;900612
mb_full_2006_8_1_1_1.txt;2006;CORE(l) [green];--/--;0
mb_full_2006_8_1_1_1.txt;2006;ISLET [brown];0.53/ 0.29;464987
mb_full_2006_8_1_1_1.txt;2006;PERFORATION [blue];2.59/ 1.40;312797
mb_full_2006_8_1_1_1.txt;2006;EDGE [black];5.35/ 2.90;684812
mb_full_2006_8_1_1_1.txt;2006;LOOP [yellow];0.00/ 0.00;0
mb_full_2006_8_1_1_1.txt;2006;BRIDGE [red];0.38/ 0.20;651415
mb_full_2006_8_1_1_1.txt;2006;BRANCH [orange];1.47/ 0.80;4057673
mb_full_2006_8_1_1_1.txt;2006;Background [grey];--/45.84;878811/685119297
mb_full_2006_8_1_1_1.txt;2006;Missing [white];45.38;131/1242037603
mb_full_2006_8_1_1_1.txt;2006;Opening [grey];86.49 Integrity;877193/126433000
